1: ['HaftaBaslangic', 'HedefMetni', 'Durum']
2: ['2026-07-06', 'pazartesi staja git', 'Bekliyor']
3: ['2026-07-06', 'çarşamba akşamı maça git', 'Bekliyor']
4: ['2026-07-06', 'bir program tamamla', 'Bekliyor']
5: ['2026-07-13', "Verimlilik Takip Sistemi'ni Ali Bey'e Sun", 'Bekliyor']
6: ['2026-07-13', '1 Beat Tamamla', 'Bekliyor']
7: ['2026-07-13', 'How to be a Millionere Scenarios', 'Bekliyor']
8: ['2026-07-13', '11.00 Work out via Scooter', 'Bekliyor']
9: ['2026-07-13', '2 video ile Koşullu Milyoner Varsayımları', 'Bekliyor']
10: ['2026-07-13', "Fitcheck Geliştirmeleri (Claude MCP Denemesi, Frontend'de çok sorun var)", 'Bekliyor']
11: ['2026-07-13', 'The Bear Episode 5', 'Bekliyor']
12: ['2026-07-13', 'Poke Promotion on Chats', 'Bekliyor']
